TAG,LimiteFechamento,LimiteAbertura,TagBusca
PSD_BDY_1223052_SLO,60,24,BDV-1223052
PSD_BDY_1223053_SLO,60,12,BDV-1223053
PSD_BDY_1231012_SLO,60,8,BDV-1231012
PSD_BDY_1233004_SLO,60,14,BDV-1233004
PSD_BDY_5241513_SLO,60,45,BDV-5241513
PSD_SDY_1210011A_SLO,2,60,SDV-1210011A
PSD_SDY_1210011B_SLO,2,60,SDV-1210011B
PSD_SDY_1210011C_SLO,2,60,SDV-1210011C
PSD_SDY_1210011D_SLO,2,60,SDV-1210011D
PSD_SDY_1210011E_SLO,2,60,SDV-1210011E
PSD_SDY_1210011F_SLO,2,60,SDV-1210011F
PSD_SDY_1210011G_SLO,2,60,SDV-1210011G
PSD_SDY_1210011H_SLO,2,60,SDV-1210011H
PSD_SDY_1210011J_SLO,2,60,SDV-1210011J
PSD_SDY_1210011K_SLO,2,60,SDV-1210011K
PSD_SDY_1210011L_SLO,2,60,SDV-1210011L
PSD_SDY_1210012A_SLO,5,60,SDV-1210012A
PSD_SDY_1210012B_SLO,5,60,SDV-1210012B
PSD_SDY_1210012C_SLO,5,60,SDV-1210012C
PSD_SDY_1210012D_SLO,5,60,SDV-1210012D
PSD_SDY_1210012E_SLO,5,60,SDV-1210012E
PSD_SDY_1210012F_SLO,5,60,SDV-1210012F
PSD_SDY_1210012G_SLO,5,60,SDV-1210012G
PSD_SDY_1210012H_SLO,5,60,SDV-1210012H
PSD_SDY_1210012J_SLO,5,60,SDV-1210012J
PSD_SDY_1210012K_SLO,5,60,SDV-1210012K
PSD_SDY_1210012L_SLO,5,60,SDV-1210012L
PSD_SDY_1210012M_SLO,5,60,SDV-1210012M
PSD_SDY_1210016C_SLO,6,60,SDV-1210016C
PSD_SDY_1210016D_SLO,6,60,SDV-1210016D
PSD_SDY_1210016E_SLO,6,60,SDV-1210016E
PSD_SDY_1210016G_SLO,16,60,SDV-1210016G
PSD_SDY_1210016J_SLO,8,60,SDV-1210016J
PSD_SDY_1210016L_SLO,16,60,SDV-1210016L
PSD_SDY_1210057_SLO,2,60,SDV-1210057
PSD_SDY_1210058_SLO,2,60,SDV-1210058
PSD_SDY_1210059_SLO,8,60,SDV-1210059
PSD_SDY_1210060_SLO,12,60,SDV-1210060
PSD_SDY_1210067_SLO,2,60,SDV-1210067
PSD_SDY_1210068_SLO,2,60,SDV-1210068
PSD_SDY_1210069_SLO,8,60,SDV-1210069
PSD_SDY_1210070_SLO,8,60,SDV-1210070
PSD_SDY_1210077_SLO,12,60,SDV-1210077
PSD_SDY_1210080_SLO,8,60,SDV-1210080
PSD_SDY_1223003_SLO,24,60,SDV-1223003
PSD_SDY_1223004_SLO,6,60,SDV-1223004
PSD_SDY_1223005A_SLO,12,60,SDV-1223005A
PSD_SDY_1223007_SLO,18,60,SDV-1223007
PSD_SDY_1223008A_SLO,12,60,SDV-1223008A
PSD_SDY_1223009_SLO,16,60,SDV-1223009
PSD_SDY_1223010_SLO,6,60,SDV-1223010
PSD_SDY_1223012_SLO,16,60,SDV-1223012
PSD_SDY_1223019_SLO,24,60,SDV-1223019
PSD_SDY_1223023_SLO,8,60,SDV-1223023
PSD_SDY_1223025_SLO,8,60,SDV-1223025
PSD_SDY_1223030_SLO,12,60,SDV-1223030
PSD_SDY_1223031_SLO,12,60,SDV-1223031
PSD_SDY_1223043A_SLO,6,60,SDV-1223043A
PSD_SDY_1223043B_SLO,6,60,SDV-1223043B
PSD_SDY_1223045_SLO,6,60,SDV-1223045
PSD_SDY_1223048_SLO,2,60,SDV-1223048
PSD_SDY_1223050_SLO,2,60,SDV-1223050
PSD_SDY_1223051_SLO,2,60,SDV-1223051
PSD_SDY_1223056_SLO,10,60,SDV-1223056
PSD_SDY_1223618_SLO,16,60,SDV-1223618
PSD_SDY_1227001_SLO,4,60,SDV-1227001
PSD_SDY_1227183_SLO,2,60,SDV-1227183
PSD_SDY_1227186_SLO,3,60,SDV-1227186
PSD_SDY_1231001_SLO,3,60,SDV-1231001
PSD_SDY_1231005A_SLO,2,60,SDV-1231005A
PSD_SDY_1231005B_SLO,2,60,SDV-1231005B
PSD_SDY_1231005C_SLO,2,60,SDV-1231005C
PSD_SDY_1231008A_SLO,2,60,SDV-1231008A
PSD_SDY_1231008B_SLO,2,60,SDV-1231008B
PSD_SDY_1231008C_SLO,2,60,SDV-1231008C
PSD_SDY_1231013A_SLO,2,60,SDV-1231013A
PSD_SDY_1231013B_SLO,2,60,SDV-1231013B
PSD_SDY_1231013C_SLO,2,60,SDV-1231013C
PSD_SDY_1231018_SLO,12,60,SDV-1231018
PSD_SDY_1233001_SLO,2,60,SDV-1233001
